sku,allow_large_letter,packed_weight_g,dim_h_mm,dim_w_mm,dim_d_mm
COK-150-PNT-P6,FALSE,1200.0,,,
CAK-200-CHP-P4,FALSE,980.0,,,
WFR-100-MCK-P3,FALSE,300.0,,,
eWFR-CHK-P3,FALSE,480.0,,,
SAC-350-SCM-P2,FALSE,940.0,,,
SND-044-VNL-P6,FALSE,1200.0,,,
eGMY-075-COL-P4,TRUE,380.0,,,
CAK-200-CHK-P4,FALSE,980.0,,,
SND-044-VNL-P2,TRUE,500.0,,,
eGMY-075-COL-P2,TRUE,200.0,,,
eWFR-CHK-P4,FALSE,640.0,,,
CHK-075-ADS-P10,FALSE,980.0,,,
SAC-350-SCM-P1,FALSE,500.0,,,
eWFR-CCN-P1,FALSE,160.0,,,
SAC-390-MPL-P1,FALSE,500.0,,,
eGMY-075-COL-P6,FALSE,520.0,,,
CAK-200-CHK-P3,FALSE,840.0,,,
SAC-360-SCM-P1,FALSE,500.0,,,
CHK-075-CPS-P10,FALSE,980.0,,,
SAC-360-CHK-P2,FALSE,940.0,,,
SAC-360-SCM-P3,FALSE,1400.0,,,
COK-135-BTR-P3,FALSE,600.0,,,
eSWT-CAP-P4,TRUE,380.0,,,
eWFR-CHK-P2,FALSE,320.0,,,
eBRB-APC-P2,TRUE,60.0,,,
313413960201_Hazelnut_2,FALSE,300.0,,,
COK-135-BTR-P2,FALSE,400.0,,,
COK-150-PNT-P3,FALSE,600.0,,,
SAC-350-BLB-P2,FALSE,940.0,,,
COK-150-PNT-P4,FALSE,980.0,,,
SAC-360-SCM-P2,FALSE,940.0,,,
COK-135-BTR-P6,FALSE,1200.0,,,
COK-135-BTR-P4,FALSE,900.0,,,
SAC-355-STR-P3,FALSE,1400.0,,,
SAC-360-CHK-P3,FALSE,1400.0,,,
COK-150-PNT-P5,FALSE,980.0,,,
COK-130-CHP-P1,FALSE,260.0,,,
WFR-100-MCK-P10,FALSE,999.0,,,
WFR-030-CHK-P4,TRUE,180.0,,,
SWT-075-CAP-P1,TRUE,120.0,,,
COK-135-BTR-P7,FALSE,1350.0,,,
CHK-085-MKM-P5,TRUE,510.0,,,
CHK-115-DLT-P3,FALSE,660.0,,,
COK-150-PNT-P7,FALSE,1350.0,,,
COK-150-PNT-P2,FALSE,400.0,,,
CHK-075-CPS-P1,TRUE,125.0,,,
COK-130-BTR-P6,FALSE,1200.0,,,
WFR-030-CHK-P6,TRUE,180.0,,,
WFR-100-MCK-P2,FALSE,200.0,,,
SPD-350-HZL-P4,FALSE,2400.0,,,
WFR-030-CHK-P12,TRUE,410.0,,,
eCHK-075-HZS-P3,TRUE,280.0,,,
WFR-030-CHK-P8,TRUE,280.0,,,
SAC-390-MPL-P2,FALSE,940.0,,,
COK-130-CHP-P6,FALSE,980.0,,,
CAK-200-CHK-P2,FALSE,450.0,,,
CHK-085-HZM-P10,FALSE,1100.0,,,
SWT-075-ALL-P5,FALSE,500.0,,,
CAK-200-ORG-P2,TRUE,450.0,,,
CHK-075-STR-P3,TRUE,280.0,,,
CAK-200-CHK-P1,FALSE,350.0,,,
UH001,FALSE,500.0,,,
CHK-040-MCP-P1,TRUE,80.0,,,
SWT-075-STR-P4,TRUE,380.0,,,
313413960201_Chocolate Chip & Cranberry_1,FALSE,150.0,,,
CAK-200-CHP-P1,FALSE,350.0,,,
CHK-075-DKG-P5,TRUE,440.0,,,
SAC-355-STR-P1,FALSE,500.0,,,
SAC-360-CHK-P1,FALSE,500.0,,,
SAC-350-BLB-P1,TRUE,500.0,,,
CHK-085-DKM-P10,FALSE,1100.0,,,
SAC-350-CHK-P1,FALSE,500.0,,,
CHK-075-STR-P1,TRUE,140.0,,,
CHK-075-CPS-P3,TRUE,280.0,,,
CHK-075-STR-P5,TRUE,440.0,,,
CHK-075-CPS-P4,TRUE,360.0,,,
CHK-142-LCB-P1,TRUE,280.0,,,
COK-130-CHP-P2,FALSE,400.0,,,
CHK-075-WTS-P2,TRUE,200.0,,,
CHK-142-LCB-P2,FALSE,480.0,,,
